Generation   Generation_size_p   Avg_R_p   Generation_size_s   Avg_R_s   
1	   30	 1.000000    30    1.566667 
2	   30	 0.800000    47    1.574468 
3	   24	 1.083333    74    1.594595 
4	   26	 1.269231    118    1.432203 
5	   33	 1.424242    169    1.491124 
6	   47	 1.446808    252    1.507936 
7	   68	 1.132353    380    1.531579 
8	   77	 2.441558    582    1.472509 
9	   188	 1.728723    857    1.452742 
10	   325	 0.990769    1245    1.448996 
11	   322	 1.307453    1804    1.416851 
12	   421	 0.988124    2556    1.377543 
13	   416	 1.105769    3521    1.260153 
14	   460	 1.089130    4437    1.229434 
15	   501	 1.167665    5455    1.181668 
16	   585	 0.719658    6446    1.096184 
17	   421	 0.885986    7066    1.013162 
18	   373	 0.635389    7159    0.964800 
19	   237	 0.721519    6907    0.888229 
20	   171	 0.695906    6135    0.842054 
21	   119	 0.546219    5166    0.790166 
22	   65	 0.615385    4082    0.739833 
23	   40	 0.575000    3020    0.718212 
24	   23	 1.043478    2169    0.661134 
25	   24	 0.416667    1434    0.642259 
26	   10	 0.200000    921    0.603692 
27	   2	 0.500000    556    0.613309 
28	   1	 0.000000    341    0.536657 
29	   0	 -1.#IND00    183    0.480874 
30	   0	 -1.#IND00    88    0.409091 
31	   0	 -1.#IND00    36    0.388889 
32	   0	 -1.#IND00    14    0.571429 
33	   0	 -1.#IND00    8    0.250000 
34	   0	 -1.#IND00    2    0.000000 
35	   0	 -1.#IND00    0    -1.#IND00 
36	   0	 -1.#IND00    0    -1.#IND00 
37	   0	 -1.#IND00    0    -1.#IND00 
38	   0	 -1.#IND00    0    -1.#IND00 
39	   0	 -1.#IND00    0    -1.#IND00 
40	   0	 -1.#IND00    0    -1.#IND00 
41	   0	 -1.#IND00    0    -1.#IND00 
42	   0	 -1.#IND00    0    -1.#IND00 
43	   0	 -1.#IND00    0    -1.#IND00 
44	   0	 -1.#IND00    0    -1.#IND00 
45	   0	 -1.#IND00    0    -1.#IND00 
46	   0	 -1.#IND00    0    -1.#IND00 
47	   0	 -1.#IND00    0    -1.#IND00 
48	   0	 -1.#IND00    0    -1.#IND00 
49	   0	 -1.#IND00    0    -1.#IND00 
50	   0	 -1.#IND00    0    -1.#IND00 
